;Pursued Degree,Start year,Gender,Age,PE,C,Haskell,Prolog,Java,Programming classes,Programming languages,Programming years,Imperativ ©,logisch (Prolog),funktional (Haskell),OO (Java),Large project,LOC of large project,Comparison to equals,Comparison to 10-year professional programmer,PE Score
p01,M.Sc.,,M,30,,,,,,,,,,,,,,,,,
p02,B.Sc.,2015,M,25,6,3,0,1,3,8,7,11,3,1,1,3,Yes,>900,3,1,2.336
p03,M.Sc.,2013,M,29,5,2,0,0,3,15,"C++, C#, Python",10,2,0,0,3,Yes,>40000,3,1,2.05
p04,B.Sc.,2016,F,21,6,3,0,0,3,7,"Python, C++",5,2,1,1,3,Yes,>900,2,1,1.895
p05,M.Sc.,2013,M,24,5,2,0,0,3,10,Python,9,3,0,0,3,Yes,>900,3,1,2.05
p06,B.Sc.,2016,M,25,4,3,0,0,4,15,"C#, Go, C++",6,4,0,2,4,Yes,>40000,4,3,2.491
p07,M.Sc.,2011,M,27,6,3,0,0,2,15,3,15,3,2,2,3,Yes,>900,3,2,2.622
p08,M.Sc.,2013,M,25,2,0,0,0,2,3,1,2,0,0,0,2,No,,1,0,1.168
p09,M.Sc.,2009,M,29,5,1,1,0,2,12,"JavaScript, Ruby",10,2,0,1,2,Yes,>900,2,1,1.609
p10,Completed M.Sc.,2010,M,30,7,3,2,2,4,20,"Python, Ruby, JavaScript, LISP",15,3,2,2,4,Yes,>900,4,3,3.063
p11,M.Sc.,2011,M,26,3,0,0,0,2,1,Python,3,0,0,0,2,Yes,<900,2,0,1.609
p12,M.Sc.,2015,M,26,5,2,0,0,2,2,,1,2,0,0,2,No,,2,1,1.609
p13,M.Sc.,2014,M,28,5,2,0,0,2,1,Python,1,2,0,0,2,Yes,<900,1,0,1.168
p14,M.Sc.,2014,M,26,5,2,0,0,2,4,Python,2,3,0,2,0,Yes,<900,2,1,1.609
p15,M.Sc.,2011,M,29,2,0,0,0,1,4,Javascript,2,0,0,0,2,Yes,>900,2,0,1.609
p16,M.Sc.,2009,M,31,5,3,0,0,2,7,"C++, Python, Matlab, Delfi",17,3,0,0,3,Yes,>900,3,1,2.05
p17,M.Sc.,2014,M,24,7,2,0,0,3,10,6,7,3,0,0,4,Yes,>900,2,1,1.609
p18,B.Sc.,2015,F,22,4,1,0,0,4,5,C++,4,1,0,0,2,Yes,>900,1,0,1.168
p19,M.Sc.,2015,M,26,5,3,0,0,3,10,"Python, C++, X++",7,3,0,0,3,Yes,>900,3,2,2.05
