condition,BA31,BA32
ArrayAverage,-2.2483557327474957,-1.774586164557046
ContainsSubstring,-2.1371451632336025,-1.9155908200365874
CountVowels,-1.9213035480972624,-1.4958324416523938
DumbSort,-1.83184353906055,-1.4637488601414776
GreatestCommonDivisor,-1.93865048962992,-1.5266494278675897
RecursiveBinaryToDecimal,-2.180495767959565,-1.9079885662629057
RecursiveCrossSum,-1.9363979233153326,-1.456351169986123
RecursiveFactorial,-1.545885531083021,-1.3791645796855905
RecursiveFibonacciVariant,-1.8359856962669516,-1.4588778784863063
RecursivePower,-1.8970296088546401,-1.6700935995679718
SquareRoot,-2.1152862430188897,-1.8201331173839879
YesNo,-1.7290848844568976,-1.2416528738349362
hIndex,-2.0635379807312115,-1.848531742723215
isHurricane,-1.7300001712256239,-1.2366003844429838
isPalindrome,-2.1039880885154223,-1.565782626836814
lengthOfLastWord,-2.0344626254719937,-1.6994183046128946
